Date,Institut,Parteien,Anteil,Glatt
2013-04-16,insa,AfD,3.0,3.1159335660431595
2013-04-21,dimap,AfD,3.0,3.07152981834324
2013-04-21,insa,AfD,4.0,3.07152981834324
2013-04-22,insa,AfD,5.0,3.0626611758570244
2013-04-24,forsa,AfD,2.0,3.044927571429006
2013-04-26,politbarometer,AfD,3.0,3.0271763457361387
2013-04-26,dimap,AfD,3.0,3.0271763457361387
2013-04-28,emnid,AfD,2.0,3.0093880967139235
2013-04-29,insa,AfD,3.0,3.0004751446566953
2013-05-01,forsa,AfD,3.0,2.982607383861263
2013-05-02,dimap,AfD,3.0,2.9736518778396133
2013-05-03,allensbach,AfD,3.5,2.96468153038314
2013-05-05,emnid,AfD,2.0,2.9466939236259377
2013-05-07,forsa,AfD,3.0,2.928638413574543
2013-05-07,insa,AfD,3.0,2.928638413574543
2013-05-10,dimap,AfD,3.0,2.901430729737238
2013-05-12,emnid,AfD,2.0,2.8832144263670343
2013-05-13,insa,AfD,3.0,2.8740847919067716
2013-05-15,forsa,AfD,2.0,2.8557912235606313
2013-05-16,gms,AfD,3.0,2.8466321351280155
2013-05-17,dimap,AfD,3.0,2.8374695428199495
2013-05-17,insa,AfD,3.0,2.8374695428199495
2013-05-17,politbarometer,AfD,3.0,2.8374695428199495
2013-05-19,emnid,AfD,3.0,2.8191502973082248
2013-05-22,forsa,AfD,3.0,2.791749784945547
2013-05-22,allensbach,AfD,3.5,2.791749784945547
2013-05-22,insa,AfD,3.0,2.791749784945547
2013-05-24,dimap,AfD,2.0,2.7735898410640503
2013-05-26,emnid,AfD,2.0,2.7555585392022475
2013-05-27,insa,AfD,3.0,2.7466062725761278
2013-05-28,forsa,AfD,3.0,2.737707322855548
2013-05-31,dimap,AfD,3.0,2.711430369697351
2013-06-01,insa,AfD,4.0,2.702849843278855
2013-06-02,emnid,AfD,2.0,2.6943804983961694
2013-06-04,insa,AfD,3.0,2.677831760746064
2013-06-05,forsa,AfD,3.0,2.6697866506760444
2013-06-06,dimap,AfD,3.0,2.6619196905680274
2013-06-07,politbarometer,AfD,3.0,2.6542498656404496
2013-06-09,emnid,AfD,3.0,2.639560625222992
2013-06-11,insa,AfD,3.0,2.6264543294358487
2013-06-12,forsa,AfD,2.0,2.619731902953479
2013-06-14,dimap,AfD,2.0,2.6078749019060776
2013-06-16,emnid,AfD,2.0,2.5975095458852206
2013-06-18,gms,AfD,2.0,2.585503846822428
2013-06-19,insa,AfD,3.0,2.5793979318136144
2013-06-19,forsa,AfD,2.0,2.5793979318136144
2013-06-19,allensbach,AfD,3.0,2.5793979318136144
2013-06-23,emnid,AfD,2.0,2.557351993206254
2013-06-24,insa,AfD,2.0,2.5500852913439016
2013-06-26,forsa,AfD,2.0,2.536598008222018
2013-06-28,politbarometer,AfD,3.0,2.524603701166099
2013-06-30,emnid,AfD,2.0,2.5128153018877226
2013-07-01,insa,AfD,3.0,2.507077176468214
2013-07-03,forsa,AfD,2.0,2.498554885382224
2013-07-07,emnid,AfD,2.0,2.477690996681034
2013-07-09,insa,AfD,3.0,2.4678068354335547
2013-07-10,forsa,AfD,2.0,2.468770566813113
2013-07-12,dimap,AfD,3.0,2.4657603518964595
2013-07-12,politbarometer,AfD,3.0,2.4657603518964595
2013-07-12,allensbach,AfD,3.5,2.4657603518964595
2013-07-14,emnid,AfD,1.0,2.4654172478800134
2013-07-16,gms,AfD,2.0,2.463279864066882
2013-07-16,insa,AfD,3.0,2.463279864066882
2013-07-17,forsa,AfD,2.0,2.469980404770871
2013-07-19,dimap,AfD,3.0,2.476223148364467
2013-07-21,emnid,AfD,2.0,2.4803601357535334
2013-07-23,insa,AfD,3.0,2.4875456867623074
2013-07-24,forsa,AfD,2.0,2.4943003053129047
2013-07-25,dimap,AfD,2.0,2.501731768225896
2013-07-28,emnid,AfD,3.0,2.5239959014795637
2013-07-30,insa,AfD,3.0,2.5402048782138813
2013-07-31,forsa,AfD,2.0,2.5465220976415606
2013-08-04,emnid,AfD,2.0,2.583377565925343
2013-08-05,insa,AfD,2.0,2.5904065891366126
2013-08-07,forsa,AfD,3.0,2.6040958086225725
2013-08-11,emnid,AfD,2.0,2.63038143031501
2013-08-13,insa,AfD,3.0,2.673965632721043
2013-08-14,forsa,AfD,3.0,2.707218884245629
2013-08-18,emnid,AfD,1.0,2.767601999569718
2013-08-20,gms,AfD,1.0,2.8171585675281783
2013-08-20,insa,AfD,3.0,2.8171585675281783
2013-08-21,allensbach,AfD,3.0,2.857602111885261
2013-08-21,forsa,AfD,2.0,2.857602111885261
2013-08-23,dimap,AfD,3.0,2.9267079419945836
2013-08-25,emnid,AfD,3.0,2.9997705777455606
2013-08-26,insa,AfD,3.0,3.0317592726157483
2013-08-28,forsa,AfD,3.0,3.1121108555877073
2013-08-29,dimap,AfD,3.0,3.148513957557309
2013-08-29,politbarometer,AfD,3.0,3.148513957557309
2013-09-01,emnid,AfD,3.0,3.268866611451753
2013-09-02,insa,AfD,3.0,3.312698426531062
2013-09-04,forsa,AfD,4.0,3.4059850166008445
2013-09-04,allensbach,AfD,3.0,3.4059850166008445
2013-09-05,politbarometer,AfD,3.0,3.4553810562818277
2013-09-05,dimap,AfD,3.0,3.4553810562818277
2013-09-08,emnid,AfD,3.0,3.6081960578667327
2013-09-09,insa,AfD,3.0,3.6682278197074405
2013-09-10,gms,AfD,3.0,3.7208607602066106
2013-09-11,forsa,AfD,3.0,3.7781803676987598
2013-09-12,dimap,AfD,2.5,3.8356901552322795
2013-09-13,politbarometer,AfD,4.0,3.893070489197507
2013-09-14,insa,AfD,5.0,3.9491587402663964
2013-09-15,insa,AfD,4.0,4.006292327573081
2013-09-15,emnid,AfD,4.0,4.006292327573081
2013-09-17,insa,AfD,4.5,4.119999836219974
2013-09-17,forsa,AfD,3.0,4.119999836219974
2013-09-18,allensbach,AfD,3.5,4.169097016135872
2013-09-19,politbarometer,AfD,4.0,4.220709795161806
2013-09-19,insa,AfD,5.0,4.220709795161806
2013-09-20,allensbach,AfD,4.5,4.2640099841572745
2013-09-20,forsa,AfD,4.0,4.2640099841572745
2013-09-20,emnid,AfD,4.0,4.2640099841572745
2013-09-22,dimap,AfD,4.7,4.366316122497608
2013-09-22,allensbach,AfD,4.7,4.366316122497608
2013-09-22,forsa,AfD,4.7,4.366316122497608
2013-09-22,gms,AfD,4.7,4.366316122497608
2013-09-22,yougov,AfD,4.7,4.366316122497608
2013-09-22,emnid,AfD,4.7,4.366316122497608
2013-09-22,allensbach,AfD,4.7,4.366316122497608
2013-09-22,dimap,AfD,4.7,4.366316122497608
2013-09-22,insa,AfD,4.7,4.366316122497608
2013-09-22,politbarometer,AfD,4.7,4.366316122497608
2013-09-22,forsa,AfD,4.7,4.366316122497608
2013-09-22,politbarometer,AfD,4.7,4.366316122497608
2013-09-22,emnid,AfD,4.7,4.366316122497608
2013-09-27,politbarometer,AfD,5.0,4.585251617617263
2013-09-29,emnid,AfD,6.0,4.679948405733135
2013-10-01,forsa,AfD,5.0,4.740288565943294
2013-10-06,emnid,AfD,6.0,4.801904110831041
2013-10-09,forsa,AfD,6.0,4.859377035192971
2013-10-10,dimap,AfD,4.5,4.858176379972826
2013-10-10,insa,AfD,5.0,4.858176379972826
2013-10-13,emnid,AfD,6.0,4.88844695282884
2013-10-15,gms,AfD,6.0,4.916744566633607
2013-10-15,insa,AfD,6.0,4.916744566633607
2013-10-16,forsa,AfD,6.0,4.923827105363086
2013-10-18,politbarometer,AfD,5.0,4.936540611621478
2013-10-20,emnid,AfD,5.0,4.936679508156904
2013-10-21,insa,AfD,4.0,4.931278013179797
2013-10-23,allensbach,AfD,5.5,4.941599838570904
